model,model_display,size,dataset,recognition,classification,ex,fb,n
Llama-3.3-70B-Instruct,Llama-3.3-70B,70B,BIRD,59.5,49.8,18.4,64.3,13632
Llama-3.3-70B-Instruct,Llama-3.3-70B,70B,Spider,67.4,57.9,26.5,73.0,9461
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,32B,BIRD,62.0,45.8,18.4,64.9,13632
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,32B,Spider,67.6,48.3,25.6,72.0,9461
Qwen2.5-32B-Instruct,Qwen2.5-32B,32B,BIRD,59.8,52.5,20.0,67.1,13632
Qwen2.5-32B-Instruct,Qwen2.5-32B,32B,Spider,67.0,58.3,25.4,73.9,9461
gemma-3-27b-it,Gemma-3-27B,27B,BIRD,53.8,37.1,14.6,63.9,13632
gemma-3-27b-it,Gemma-3-27B,27B,Spider,59.9,39.0,20.5,70.8,9461
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,24B,BIRD,61.3,54.3,19.8,67.4,13632
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,24B,Spider,69.5,61.4,31.1,75.0,9461
Llama-3.1-8B-Instruct,Llama-3.1-8B,8B,BIRD,24.9,12.4,6.7,22.7,13632
Llama-3.1-8B-Instruct,Llama-3.1-8B,8B,Spider,28.4,13.7,10.1,27.4,9461
Qwen2.5-7B-Instruct,Qwen2.5-7B,7B,BIRD,50.3,30.4,10.3,58.2,13632
Qwen2.5-7B-Instruct,Qwen2.5-7B,7B,Spider,55.8,32.9,15.5,62.8,9461
