dataset,category,group,recognition,classification,ex,fb
BIRD,Ans. w/o Ev.,Answerable,98.8,87.6,51.4,
Spider,Ans. w/o Ev.,Answerable,98.9,88.4,66.8,
BIRD,Ans. w/ Ev.,Answerable,98.8,65.5,20.1,
Spider,Ans. w/ Ev.,Answerable,98.9,64.2,32.0,
BIRD,Lex. Vague.,Ambiguous,74.3,74.3,26.5,
Spider,Lex. Vague.,Ambiguous,79.1,79.1,36.2,
BIRD,Sem. Entity,Ambiguous,2.3,1.1,6.2,
Spider,Sem. Entity,Ambiguous,2.9,1.4,7.8,
BIRD,Sem. Lexical,Ambiguous,1.8,,11.0,
Spider,Sem. Lexical,Ambiguous,1.2,0.2,9.4,
BIRD,Struct. Attach.,Ambiguous,0.6,,6.5,
Spider,Struct. Attach.,Ambiguous,1.5,0.5,3.1,
BIRD,Struct. Scope,Ambiguous,1.0,0.1,7.8,
Spider,Struct. Scope,Ambiguous,0.9,0.3,9.5,
BIRD,Confl. Know.,Ambiguous,31.5,30.2,9.3,
Spider,Confl. Know.,Ambiguous,40.2,39.0,14.2,
BIRD,Miss. User Know.,Ambiguous,68.3,66.7,28.2,
Spider,Miss. User Know.,Ambiguous,73.6,72.1,39.5,
BIRD,Improper Q.,Unanswerable,81.4,74.3,,94.6
Spider,Improper Q.,Unanswerable,80.2,72.3,,92.7
BIRD,Miss. Ext. Know.,Unanswerable,65.1,63.3,,68.8
Spider,Miss. Ext. Know.,Unanswerable,73.8,69.8,,74.5
BIRD,Miss. Sch. Ent.,Unanswerable,80.6,32.5,,79.9
Spider,Miss. Sch. Ent.,Unanswerable,83.6,34.1,,83.2
BIRD,Miss. Sch. Rel.,Unanswerable,8.4,2.2,,6.4
Spider,Miss. Sch. Rel.,Unanswerable,15.4,4.8,,11.1
