model,model_display,dataset,category_mode,ex,fb
Llama-3.3-70B-Instruct,Llama-3.3-70B,BIRD,ground_truth,40.0,93.0
Llama-3.3-70B-Instruct,Llama-3.3-70B,BIRD,predicted,28.1,61.8
Llama-3.3-70B-Instruct,Llama-3.3-70B,BIRD,no_category,30.5,62.8
Llama-3.3-70B-Instruct,Llama-3.3-70B,Spider,ground_truth,51.5,90.7
Llama-3.3-70B-Instruct,Llama-3.3-70B,Spider,predicted,39.8,70.7
Llama-3.3-70B-Instruct,Llama-3.3-70B,Spider,no_category,40.4,70.8
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,BIRD,ground_truth,39.0,90.5
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,BIRD,predicted,28.2,62.3
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,BIRD,no_category,31.0,66.9
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,Spider,ground_truth,49.2,91.0
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,Spider,predicted,38.4,69.7
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,Spider,no_category,40.5,70.8
Qwen2.5-32B-Instruct,Qwen2.5-32B,BIRD,ground_truth,40.9,94.1
Qwen2.5-32B-Instruct,Qwen2.5-32B,BIRD,predicted,29.6,65.1
Qwen2.5-32B-Instruct,Qwen2.5-32B,BIRD,no_category,30.8,67.0
Qwen2.5-32B-Instruct,Qwen2.5-32B,Spider,ground_truth,49.4,94.7
Qwen2.5-32B-Instruct,Qwen2.5-32B,Spider,predicted,38.0,72.8
Qwen2.5-32B-Instruct,Qwen2.5-32B,Spider,no_category,40.1,74.8
gemma-3-27b-it,Gemma-3-27B,BIRD,ground_truth,33.3,95.0
gemma-3-27b-it,Gemma-3-27B,BIRD,predicted,23.2,61.3
gemma-3-27b-it,Gemma-3-27B,BIRD,no_category,28.0,59.1
gemma-3-27b-it,Gemma-3-27B,Spider,ground_truth,44.1,93.6
gemma-3-27b-it,Gemma-3-27B,Spider,predicted,33.2,68.6
gemma-3-27b-it,Gemma-3-27B,Spider,no_category,36.8,63.1
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,BIRD,ground_truth,41.6,95.3
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,BIRD,predicted,29.9,65.4
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,BIRD,no_category,27.3,54.1
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,Spider,ground_truth,56.0,95.9
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,Spider,predicted,43.6,73.9
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,Spider,no_category,39.2,60.2
Llama-3.1-8B-Instruct,Llama-3.1-8B,BIRD,ground_truth,26.2,89.3
Llama-3.1-8B-Instruct,Llama-3.1-8B,BIRD,predicted,14.1,21.5
Llama-3.1-8B-Instruct,Llama-3.1-8B,BIRD,no_category,11.7,30.0
Llama-3.1-8B-Instruct,Llama-3.1-8B,Spider,ground_truth,36.3,92.0
Llama-3.1-8B-Instruct,Llama-3.1-8B,Spider,predicted,21.8,26.1
Llama-3.1-8B-Instruct,Llama-3.1-8B,Spider,no_category,21.6,36.7
Qwen2.5-7B-Instruct,Qwen2.5-7B,BIRD,ground_truth,29.3,89.9
Qwen2.5-7B-Instruct,Qwen2.5-7B,BIRD,predicted,18.4,55.1
Qwen2.5-7B-Instruct,Qwen2.5-7B,BIRD,no_category,17.6,21.9
Qwen2.5-7B-Instruct,Qwen2.5-7B,Spider,ground_truth,39.7,91.1
Qwen2.5-7B-Instruct,Qwen2.5-7B,Spider,predicted,27.3,59.9
Qwen2.5-7B-Instruct,Qwen2.5-7B,Spider,no_category,23.1,18.5
