ground_truth,Ans. w/o Ev.,Ans. w/ Ev.,Lex. Vague.,Sem. Entity,Sem. Lexical,Struct. Attach.,Struct. Scope,Confl. Know.,Miss. User Know.,Improper Q.,Miss. Ext. Know.,Miss. Sch. Ent.,Miss. Sch. Rel.
Ans. w/o Ev.,87.6,11.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.1,0.1
Ans. w/ Ev.,33.2,65.5,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
Lex. Vague.,14.6,8.1,75.5,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.6,0.0,0.0
Sem. Entity,79.0,13.6,0.8,1.5,0.0,0.0,0.0,0.0,0.3,1.4,2.1,0.7,0.6
Sem. Lexical,77.0,14.9,1.5,0.4,0.0,0.0,0.0,0.3,0.1,0.6,5.1,0.1,0.0
Struct. Attach.,86.1,11.7,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.4,0.0
Struct. Scope,85.8,10.1,0.6,0.1,0.0,0.0,0.3,0.1,0.3,0.4,0.9,0.1,1.3
Confl. Know.,26.5,40.3,1.7,0.0,0.0,0.0,0.0,30.5,0.0,0.1,1.0,0.0,0.0
Miss. User Know.,16.8,8.8,1.2,0.0,0.0,0.0,0.0,0.0,67.1,1.1,4.8,0.0,0.3
Improper Q.,18.7,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.8,3.1,3.3,0.0
Miss. Ext. Know.,9.5,16.0,8.4,0.0,0.0,0.0,0.0,0.0,0.1,0.9,64.5,0.5,0.1
Miss. Sch. Ent.,9.2,9.5,1.0,0.0,0.0,0.0,0.0,0.0,0.1,11.1,34.4,31.8,3.0
Miss. Sch. Rel.,61.5,23.7,5.9,0.1,0.0,0.0,0.0,0.0,0.2,0.0,5.3,0.8,2.5
