model,model_display,dataset,avg_turns,clar_pct,rel_pct,tech_pct,irrel_pct
Llama-3.3-70B-Instruct,Llama-3.3-70B,BIRD,1.33,30.6,71.8,4.4,23.8
Llama-3.3-70B-Instruct,Llama-3.3-70B,Spider,1.33,30.4,73.0,6.2,20.8
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,BIRD,1.43,33.1,61.9,5.4,32.7
Qwen2.5-Coder-32B-Instruct,Qwen2.5-Coder-32B,Spider,1.41,33.0,64.4,5.3,30.4
Qwen2.5-32B-Instruct,Qwen2.5-32B,BIRD,1.37,29.5,64.7,3.8,31.5
Qwen2.5-32B-Instruct,Qwen2.5-32B,Spider,1.34,28.9,72.9,2.2,24.9
gemma-3-27b-it,Gemma-3-27B,BIRD,1.71,45.2,36.3,10.8,52.9
gemma-3-27b-it,Gemma-3-27B,Spider,1.72,45.4,36.1,9.0,54.9
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,BIRD,1.27,25.1,79.8,1.8,18.4
Mistral-Small-3.2-24B-Instruct-2506,Mistral-Small-24B,Spider,1.27,25.3,85.3,0.8,13.9
Llama-3.1-8B-Instruct,Llama-3.1-8B,BIRD,2.33,44.5,46.4,15.7,37.9
Llama-3.1-8B-Instruct,Llama-3.1-8B,Spider,2.34,44.7,47.2,13.9,38.9
Qwen2.5-7B-Instruct,Qwen2.5-7B,BIRD,1.65,27.8,63.3,4.8,31.8
Qwen2.5-7B-Instruct,Qwen2.5-7B,Spider,1.52,24.4,70.2,3.4,26.4
